NAME,ID,AGE,POS,PPG,APG,RPG,STL,BLK,LINK
Khris Middleton,middlkh01,33,SF,10.7,3.4,3.7,1.3,0.2,https://www.basketball-reference.com/players/m/middlkh01.html
Justin Champagnie,champju01,23,SF,8.8,1.0,5.7,1.0,0.6,https://www.basketball-reference.com/players/c/champju01.html
Jonas Valančiūnas,valanjo01,32,C,11.5,2.2,8.2,0.4,0.6,https://www.basketball-reference.com/players/v/valanjo01.html
JT Thor,thorjt01,22,PF,3.9,0.5,3.8,0.5,0.5,https://www.basketball-reference.com/players/t/thorjt01.html
Marcus Smart,smartma01,30,PG,9.3,2.5,1.9,1.1,0.2,https://www.basketball-reference.com/players/s/smartma01.html
Jaylen Martin,martija02,21,SF,5.8,1.3,3.4,0.7,0.0,https://www.basketball-reference.com/players/m/martija02.html
Richaun Holmes,holmeri01,31,PF,7.4,1.4,5.7,0.3,0.7,https://www.basketball-reference.com/players/h/holmeri01.html
Tristan Vukcevic,vukcetr01,21,C,9.4,1.1,3.7,0.3,0.7,https://www.basketball-reference.com/players/v/vukcetr01.html
Jared Butler,butleja02,24,PG,6.9,2.6,1.3,0.4,0.2,https://www.basketball-reference.com/players/b/butleja02.html
Marvin Bagley III,baglema01,25,C,4.9,0.4,2.9,0.4,0.3,https://www.basketball-reference.com/players/b/baglema01.html
Anthony Gill,gillan01,32,PF,2.5,0.3,1.3,0.2,0.0,https://www.basketball-reference.com/players/g/gillan01.html
Johnny Davis,davisjo06,22,SG,2.4,0.3,1.1,0.4,0.2,https://www.basketball-reference.com/players/d/davisjo06.html
Patrick Baldwin Jr.,baldwpa01,22,SF,2.1,0.1,1.0,0.1,0.1,https://www.basketball-reference.com/players/b/baldwpa01.html
Jalen McDaniels,mcdanja01,27,SF,0.0,0.3,0.0,0.3,0.0,https://www.basketball-reference.com/players/m/mcdanja01.html
